StateCode,StateName,DistrictCode,NameofCity,Level,PopulationPersons,PopulationMales,PopulationFemale,0-6PopulationPersons,0-6PopulationMales,0-6PopulationFemales,LiteratesPersons,LiterateMales,LiteratesFemales,SexRatio,0-6ChildSexRatio,EffLiteracyRatePersons,EffLiteracyRateMales,EffLiteracyRatesFemales
09,UTTAR PRADESH,09,Modinagar UA,UA,"1,82,811","97,335","85,476","21,441","11,898","9,543","1,40,441","79,638","60,803",878,802,87.03,93.21,80.07
09,UTTAR PRADESH,25,Unnao (NPP),City,"1,78,681","94,080","84,601","18,604","9,949","8,655","1,34,018","73,411","60,607",899,870,83.72,87.26,79.80
09,UTTAR PRADESH,63,Jaunpur (NPP),City,"1,68,128","88,704","79,424","18,033","9,449","8,584","1,23,245","68,005","55,240",895,908,82.11,85.81,77.98
09,UTTAR PRADESH,22,Lakhimpur UA,UA,"1,64,925","87,908","77,017","18,174","9,724","8,450","1,22,979","68,190","54,789",876,869,83.80,87.22,79.91
09,UTTAR PRADESH,13,Hathras UA,UA,"1,61,289","86,028","75,261","20,279","11,033","9,246","1,10,061","62,404","47,657",875,838,78.05,83.21,72.19
09,UTTAR PRADESH,39,Banda UA,UA,"1,60,432","85,473","74,959","18,317","9,670","8,647","1,18,826","67,697","51,129",877,894,83.61,89.31,77.10
09,UTTAR PRADESH,20,Pilibhit UA,UA,"1,60,146","84,546","75,600","16,089","8,415","7,674","1,04,149","57,604","46,545",894,912,72.30,75.66,68.52
09,UTTAR PRADESH,18,Budaun (NPP),City,"1,59,221","83,475","75,746","19,613","10,420","9,193","1,01,914","56,012","45,902",907,882,73.00,76.67,68.97
09,UTTAR PRADESH,65,Mughalsarai UA,UA,"1,54,692","81,524","73,168","19,055","10,078","8,977","1,05,904","60,152","45,752",898,891,78.08,84.19,71.27
09,UTTAR PRADESH,45,Barabanki UA,UA,"1,46,831","77,766","69,065","16,093","8,434","7,659","1,06,097","58,608","47,489",888,908,81.15,84.53,77.34
09,UTTAR PRADESH,11,Khurja UA,UA,"1,42,636","75,384","67,252","20,072","10,995","9,077","84,220","48,765","35,455",892,826,68.72,75.73,60.95
09,UTTAR PRADESH,52,Gonda UA,UA,"1,38,929","71,475","67,454","15,608","8,253","7,355","99,057","55,067","43,990",944,891,80.32,87.10,73.20
09,UTTAR PRADESH,17,Mainpuri UA,UA,"1,33,078","69,788","63,290","16,371","8,827","7,544","99,977","54,592","45,385",907,855,85.66,89.55,81.41
09,UTTAR PRADESH,36,Lalitpur (NPP),City,"1,33,041","69,548","63,493","16,193","8,413","7,780","98,108","55,330","42,778",913,925,83.96,90.50,76.78
09,UTTAR PRADESH,70,Etah UA,UA,"1,31,023","69,446","61,577","15,890","8,485","7,405","98,581","54,794","43,787",887,873,85.62,89.88,80.83
09,UTTAR PRADESH,59,Deoria (NPP),City,"1,29,570","67,754","61,816","13,821","7,243","6,578","1,02,802","56,719","46,083",912,908,88.81,93.73,83.43
09,UTTAR PRADESH,64,Ghazipur UA,UA,"1,21,136","63,689","57,447","13,986","7,488","6,498","91,049","50,711","40,338",902,868,84.97,90.23,79.17
