OBJECTID,ASS_CONST_,ASS_CONST1,WARD_NO,WARD_NAME,TOT_HH,POP_TOTAL,POP_M,POP_F,POP_SC,POP_ST,POP_LIT,POP_WORK,AREA_SQ_KM,LAT,LON,RESERVATIO
150,171,Padmanaba Nagar,167,Yediyur,8455,32756,16532,16224,1344,556,28085,13745,1.23,12.93425174,77.57608048,Backward Category - A
162,173,Jaya Nagar,168,Pattabhiram Nagar,7163,28353,14172,14181,1754,299,24629,11281,1.75,12.92454501,77.58754544,General
163,173,Jaya Nagar,169,Byrasandra,7423,32066,16296,15770,4886,274,25300,13390,0.87,12.93159784,77.58894037,Backward Category - A
189,173,Jaya Nagar,170,Jayanagar East,7961,33927,17282,16645,5997,382,26951,14422,1.01,12.92110637,77.59863976,Backward Category - A
190,173,Jaya Nagar,171,Gurappanapalya,10513,48991,25325,23666,1470,1008,37950,18431,0.68,12.9228664,77.60461515,General
194,172,B.T.M. Layout,172,Madivala,11517,42624,23282,19342,3197,745,35671,20277,1.16,12.92001823,77.61441839,Backward Category - A
160,172,B.T.M. Layout,173,Jakkasandra,9040,33521,18009,15512,3641,942,27948,15047,1.52,12.92059097,77.6309887,General (Women)
171,175,Bommana Halli,174,HSR Layout,16847,63033,32656,30377,5681,925,50002,30718,6.98,12.91371786,77.64642588,General (Women)
172,175,Bommana Halli,175,Bommanahalli,11368,43585,23005,20580,4241,557,33741,21811,1.85,12.90074111,77.62121176,General
161,172,B.T.M. Layout,176,BTM Layout,14540,52250,27937,24313,3897,644,43301,25978,2.13,12.91183772,77.60934529,General
193,173,Jaya Nagar,177,J P Nagar,7566,28846,14679,14167,3399,415,24375,13075,1.79,12.91088176,77.59450677,Backward Category - A
159,173,Jaya Nagar,178,Sarakki,7985,31034,15864,15170,1945,394,26374,13448,1.34,12.90794029,77.58294975,General
164,173,Jaya Nagar,179,Shakambari Nagar,6537,25871,13179,12692,500,302,22487,12159,1.85,12.91708819,77.57977473,Backward Category - A
151,171,Padmanaba Nagar,180,Banashankari Temple ward,9461,42171,21525,20646,3271,1487,28560,18108,0.68,12.91335153,77.56983233,General
152,171,Padmanaba Nagar,181,Kumaraswamy Layout,11881,47182,24414,22768,2274,567,38495,19931,1.87,12.9069902,77.56185768,Backward Category - A
153,171,Padmanaba Nagar,182,Padmanabha Nagar,10771,41037,20855,20182,1875,281,34066,16684,1.68,12.91350133,77.55605719,General
191,171,Padmanaba Nagar,183,Chikkalsandra,11403,43364,22206,21158,745,410,34648,18827,1.09,12.92168479,77.5484074,General
180,176,Bangalore South,184,Uttarahalli,14675,57209,29935,27274,6344,1200,43717,25161,8.99,12.9002644,77.53708095,Backward Category - A
181,176,Bangalore South,185,Yelchenahalli,11338,46943,24623,22320,2873,437,35593,19410,1.58,12.90022868,77.56701407,Backward Category - A
173,175,Bommana Halli,186,Jaraganahalli,9818,38294,20044,18250,1487,733,30635,17025,1.28,12.90042089,77.57748806,General (Women)
174,175,Bommana Halli,187,Puttenahalli,13230,49207,25666,23541,2041,666,39117,22061,2.87,12.89731775,77.59060305,Backward Category - A
175,175,Bommana Halli,188,Bilekhalli,13186,49884,26149,23735,4301,523,39297,22694,4.24,12.89915667,77.61015896,General (Women)
176,175,Bommana Halli,189,Hongasandra,18192,68554,36812,31742,3639,1280,53571,38626,2.16,12.89676889,77.62751717,Backward Category - B (Woman)
177,175,Bommana Halli,190,Mangammanapalya,16903,65890,35202,30688,5464,1527,48615,34274,3.52,12.89616674,77.64182309,Backward Category A (Women)
178,175,Bommana Halli,191,Singasandra,18214,71004,40347,30657,9644,1714,54140,34577,9.42,12.88116607,77.65765533,General (Women)
182,176,Bangalore South,192,Begur,21322,80037,42157,37880,7262,1375,61098,39729,18.8,12.86499966,77.62206969,Backward Category - B
179,175,Bommana Halli,193,Arakere,15272,58355,30522,27833,5190,1094,45436,31525,6.45,12.87921991,77.60288373,General
183,176,Bangalore South,194,Gottigere,13457,51911,26838,25073,7276,779,38586,22779,6.49,12.86059126,77.58213245,Backward Category - B (Woman)
